System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt)
17:18:51:935, 76933145275776,    0.112,   14.000, 3200,  26.403,   2.950,   0.819,  14.925,   1.667,   0.463, 63,  0,   0.528,   0.059,   0.016,  55.000,  75.000,   0.000, 230.000, 280.000
17:18:52:045, 76933443318931,    0.222,   13.000, 3200,  26.040,   5.811,   1.614,  14.628,   3.275,   0.910, 64,  0,   0.517,   0.116,   0.032,  55.000,  75.000,   0.000, 230.000, 280.000
17:18:52:155, 76933739828828,    0.331,   12.000, 3200,  25.844,   8.637,   2.399,  14.545,   4.865,   1.351, 68,  0,   0.487,   0.169,   0.047,  55.000,  75.000,   0.000, 230.000, 280.000
17:18:52:262, 76934031880908,    0.439,   13.000, 3200,  26.208,  11.459,   3.183,  14.749,   6.453,   1.793, 63,  0,   0.500,   0.223,   0.062,  55.000,  75.000,   0.000, 230.000, 280.000
17:18:52:371, 76934327653930,    0.548,   12.000, 3200,  26.058,  14.301,   3.973,  14.704,   8.057,   2.238, 60,  0,   0.482,   0.275,   0.076,  55.000,  75.000,   0.000, 230.000, 280.000
17:18:52:481, 76934626035549,    0.658,   16.000, 3200,  26.413,  17.207,   4.780,  15.018,   9.709,   2.697, 64,  0,   0.551,   0.336,   0.093,  55.000,  75.000,   0.000, 230.000, 280.000
17:18:52:591, 76934923522229,    0.767,   13.000, 3200,  24.873,  19.935,   5.538,  13.638,  11.205,   3.113, 61,  0,   0.501,   0.391,   0.109,  55.000,  75.000,   0.000, 230.000, 280.000
17:18:52:702, 76935225236257,    0.879,   12.000, 3200,  25.431,  22.765,   6.324,  13.900,  12.752,   3.542, 66,  0,   0.488,   0.445,   0.124,  55.000,  75.000,   0.000, 230.000, 280.000
17:18:52:814, 76935528826278,    0.991,   12.000, 3300,  26.424,  25.723,   7.145,  15.050,  14.437,   4.010, 68,  0,   0.467,   0.497,   0.138,  55.000,  75.000,   0.000, 230.000, 280.000
17:18:52:924, 76935825031761,    1.100,   41.000, 3200,  35.071,  29.553,   8.209,  23.629,  17.017,   4.727, 69,  0,   0.818,   0.587,   0.163,  55.000,  75.000,   0.000, 230.000, 280.000
17:18:53:035, 76936127924262,    1.212,   12.000, 3200,  26.730,  32.539,   9.038,  15.283,  18.724,   5.201, 71,  0,   0.467,   0.639,   0.177,  55.000,  75.000,   0.000, 230.000, 280.000
17:18:53:131, 76936387851033,    1.307,   12.000, 3200,  26.429,  35.072,   9.742,  15.290,  20.190,   5.608, 71,  0,   0.466,   0.684,   0.190,  55.000,  75.000,   0.000, 230.000, 280.000
17:18:53:243, 76936691456805,    1.419,   12.000, 3200,  26.691,  38.060,  10.572,  15.308,  21.903,   6.084, 69,  0,   0.471,   0.736,   0.205,  55.000,  75.000,   0.000, 230.000, 280.000
17:18:53:352, 76936986688338,    1.528,   12.000, 3200,  26.009,  40.891,  11.359,  14.621,  23.495,   6.526, 70,  0,   0.465,   0.787,   0.219,  55.000,  75.000,   0.000, 230.000, 280.000
17:18:53:462, 76937286407040,    1.639,   15.000, 3200,  27.617,  43.943,  12.206,  16.124,  25.277,   7.021, 68,  0,   0.492,   0.841,   0.234,  55.000,  75.000,   0.000, 230.000, 280.000
17:18:53:573, 76937585137609,    1.749,   12.000, 3200,  26.179,  46.827,  13.007,  14.841,  26.912,   7.476, 68,  0,   0.463,   0.892,   0.248,  55.000,  75.000,   0.000, 230.000, 280.000
17:18:53:685, 76937888768002,    1.861,   12.000, 3200,  26.531,  49.797,  13.832,  15.154,  28.608,   7.947, 72,  0,   0.471,   0.945,   0.262,  55.000,  75.000,   0.000, 230.000, 280.000
17:18:53:793, 76938182119910,    1.969,   12.000, 3200,  26.602,  52.674,  14.632,  15.279,  30.261,   8.406, 70,  0,   0.476,   0.996,   0.277,  55.000,  75.000,   0.000, 230.000, 280.000
17:18:53:903, 76938479909144,    2.079,   12.000, 3200,  26.375,  55.570,  15.436,  14.955,  31.903,   8.862, 70,  0,   0.475,   1.049,   0.291,  55.000,  75.000,   0.000, 230.000, 280.000
17:18:54:013, 76938778903584,    2.189,   12.000, 3200,  26.308,  58.471,  16.242,  14.992,  33.556,   9.321, 67,  0,   0.474,   1.101,   0.306,  55.000,  75.000,   0.000, 230.000, 280.000
17:18:54:123, 76939079426271,    2.300,   12.000, 3200,  26.003,  61.352,  17.042,  14.598,  35.174,   9.770, 67,  0,   0.476,   1.154,   0.320,  55.000,  75.000,   0.000, 230.000, 280.000
17:18:54:232, 76939373336304,    2.408,   12.000, 3200,  26.313,  64.204,  17.834,  15.030,  36.803,  10.223, 68,  0,   0.475,   1.205,   0.335,  55.000,  75.000,   0.000, 230.000, 280.000
17:18:54:342, 76939672140221,    2.518,   12.000, 3200,  25.463,  67.009,  18.614,  14.129,  38.359,  10.655, 69,  0,   0.470,   1.257,   0.349,  55.000,  75.000,   0.000, 230.000, 280.000
17:18:54:452, 76939970798349,    2.628,   17.000, 3200,  26.885,  69.970,  19.436,  15.286,  40.043,  11.123, 62,  0,   0.508,   1.313,   0.365,  55.000,  75.000,   0.000, 230.000, 280.000
17:18:54:561, 76940264889849,    2.737,   12.000, 3200,  26.205,  72.812,  20.226,  14.960,  41.665,  11.574, 62,  0,   0.463,   1.363,   0.379,  55.000,  75.000,   0.000, 230.000, 280.000
17:18:54:671, 76940563232562,    2.847,   12.000, 3200,  26.522,  75.729,  21.036,  15.155,  43.332,  12.037, 68,  0,   0.475,   1.415,   0.393,  55.000,  75.000,   0.000, 230.000, 280.000
17:18:54:783, 76940867459175,    2.959,   12.000, 3200,  26.097,  78.657,  21.849,  14.760,  44.988,  12.497, 69,  0,   0.465,   1.467,   0.408,  55.000,  75.000,   0.000, 230.000, 280.000
17:18:54:892, 76941162556262,    3.068,   12.000, 3200,  25.984,  81.484,  22.635,  14.571,  46.573,  12.937, 67,  0,   0.475,   1.519,   0.422,  55.000,  75.000,   0.000, 230.000, 280.000
17:18:55:003, 76941463667886,    3.179,   12.000, 3200,  26.313,  84.406,  23.446,  14.957,  48.234,  13.398, 63,  0,   0.465,   1.571,   0.436,  55.000,  75.000,   0.000, 230.000, 280.000
17:18:55:113, 76941761599919,    3.289,   12.000, 3200,  26.145,  87.278,  24.244,  14.751,  49.855,  13.849, 65,  0,   0.468,   1.622,   0.451,  55.000,  75.000,   0.000, 230.000, 280.000
17:18:55:223, 76942060487397,    3.399,   12.000, 3200,  26.400,  90.188,  25.052,  15.083,  51.517,  14.310, 70,  0,   0.483,   1.675,   0.465,  55.000,  75.000,   0.000, 230.000, 280.000
