System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt)
17:19:39:582, 77062362939859,    0.118,   13.000, 3200,  26.058,   3.084,   0.857,  14.729,   1.743,   0.484, 61,  0,   0.505,   0.060,   0.017,  55.000,  75.000,   0.000, 230.000, 280.000
17:19:39:693, 77062662859296,    0.229,   13.000, 3200,  26.077,   5.967,   1.658,  14.628,   3.361,   0.933, 66,  0,   0.502,   0.115,   0.032,  55.000,  75.000,   0.000, 230.000, 280.000
17:19:39:788, 77062922513054,    0.325,   12.000, 3200,  26.014,   8.458,   2.349,  14.558,   4.754,   1.321, 63,  0,   0.488,   0.162,   0.045,  55.000,  75.000,   0.000, 230.000, 280.000
17:19:39:898, 77063220627161,    0.435,   12.000, 3200,  25.918,  11.307,   3.141,  14.523,   6.351,   1.764, 67,  0,   0.483,   0.215,   0.060,  55.000,  75.000,   0.000, 230.000, 280.000
17:19:40:010, 77063523710185,    0.546,   13.000, 3200,  25.495,  14.156,   3.932,  14.265,   7.945,   2.207, 63,  0,   0.506,   0.272,   0.075,  55.000,  75.000,   0.000, 230.000, 280.000
17:19:40:121, 77063825720324,    0.658,   15.000, 3200,  26.481,  17.105,   4.751,  14.974,   9.613,   2.670, 68,  0,   0.514,   0.329,   0.091,  55.000,  75.000,   0.000, 230.000, 280.000
17:19:40:229, 77064117588395,    0.765,   13.000, 3200,  25.789,  19.881,   5.522,  14.553,  11.179,   3.105, 61,  0,   0.497,   0.382,   0.106,  55.000,  75.000,   0.000, 230.000, 280.000
17:19:40:341, 77064420814556,    0.877,   13.000, 3200,  25.338,  22.714,   6.309,  13.907,  12.734,   3.537, 60,  0,   0.483,   0.436,   0.121,  55.000,  75.000,   0.000, 230.000, 280.000
17:19:40:452, 77064721361097,    0.988,   20.000, 3200,  26.711,  25.674,   7.132,  15.301,  14.429,   4.008, 63,  0,   0.495,   0.491,   0.136,  55.000,  75.000,   0.000, 230.000, 280.000
17:19:40:561, 77065018264714,    1.097,   12.000, 3300,  25.639,  28.481,   7.911,  14.146,  15.978,   4.438, 69,  0,   0.478,   0.544,   0.151,  55.000,  75.000,   0.000, 230.000, 280.000
17:19:40:671, 77065316766811,    1.208,   12.000, 3200,  25.408,  31.277,   8.688,  14.064,  17.526,   4.868, 67,  0,   0.464,   0.595,   0.165,  55.000,  75.000,   0.000, 230.000, 280.000
17:19:40:783, 77065620477325,    1.319,   12.000, 3200,  25.703,  34.156,   9.488,  14.323,  19.130,   5.314, 67,  0,   0.458,   0.646,   0.179,  55.000,  75.000,   0.000, 230.000, 280.000
17:19:40:893, 77065917076272,    1.429,   12.000, 3200,  25.763,  36.973,  10.270,  14.486,  20.714,   5.754, 67,  0,   0.467,   0.697,   0.194,  55.000,  75.000,   0.000, 230.000, 280.000
17:19:41:001, 77066211820448,    1.538,   14.000, 3200,  26.302,  39.832,  11.064,  14.849,  22.328,   6.202, 70,  0,   0.519,   0.753,   0.209,  55.000,  75.000,   0.000, 230.000, 280.000
