System Time	RDTSC	Elapsed Time (sec)	 CPU Utilization(%)	CPU Frequency_0(MHz)	Processor Power_0(Watt)	Cumulative Processor Energy_0(Joules)	Cumulative Processor Energy_0(mWh)	IA Power_0(Watt)	Cumulative IA Energy_0(Joules)	Cumulative IA Energy_0(mWh)	Package Temperature_0(C)	Package Hot_0	DRAM Power_0(Watt)	Cumulative DRAM Energy_0(Joules)	Cumulative DRAM Energy_0(mWh)	Package PL1_0(Watt)	Package PL2_0(Watt)	Package PL4_0(Watt)	Platform PsysPL1_0(Watt)	Platform PsysPL2_0(Watt)
17:44:36:187	8,11212E+13	    0.108	   13.000	3200	  26.045	   2.807	   0.780	  14.587	   1.572	   0.437	66	0	   0.509	   0.055	   0.015	  55.000	  75.000	   0.000	 230.000	 280.000
17:44:36:297	8,11215E+13	    0.218	   14.000	3200	  25.804	   5.650	   1.570	  14.460	   3.166	   0.879	60	0	   0.532	   0.113	   0.032	  55.000	  75.000	   0.000	 230.000	 280.000
17:44:36:407	8,11218E+13	    0.328	   12.000	3200	  25.759	   8.482	   2.356	  14.371	   4.745	   1.318	61	0	   0.479	   0.166	   0.046	  55.000	  75.000	   0.000	 230.000	 280.000
17:44:36:516	8,1122E+13	    0.437	   17.000	3200	  27.642	  11.493	   3.193	  16.227	   6.513	   1.809	73	0	   0.533	   0.224	   0.062	  55.000	  75.000	   0.000	 230.000	 280.000
17:44:36:624	8,11223E+13	    0.546	   12.000	3200	  26.062	  14.329	   3.980	  14.654	   8.107	   2.252	68	0	   0.461	   0.274	   0.076	  55.000	  75.000	   0.000	 230.000	 280.000
17:44:36:735	8,11226E+13	    0.656	   12.000	3200	  26.041	  17.197	   4.777	  14.729	   9.730	   2.703	65	0	   0.466	   0.326	   0.090	  55.000	  75.000	   0.000	 230.000	 280.000
17:44:36:845	8,11229E+13	    0.767	   12.000	3200	  26.303	  20.112	   5.587	  14.891	  11.380	   3.161	68	0	   0.458	   0.376	   0.105	  55.000	  75.000	   0.000	 230.000	 280.000
17:44:36:953	8,11232E+13	    0.874	   12.000	3200	  25.965	  22.895	   6.360	  14.658	  12.951	   3.598	67	0	   0.461	   0.426	   0.118	  55.000	  75.000	   0.000	 230.000	 280.000
17:44:37:064	8,11235E+13	    0.985	   12.000	3300	  25.873	  25.775	   7.160	  14.582	  14.574	   4.048	61	0	   0.459	   0.477	   0.132	  55.000	  75.000	   0.000	 230.000	 280.000
17:44:37:173	8,11238E+13	    1.094	   12.000	3200	  25.989	  28.609	   7.947	  14.658	  16.173	   4.492	67	0	   0.455	   0.526	   0.146	  55.000	  75.000	   0.000	 230.000	 280.000
17:44:37:284	8,11241E+13	    1.206	   12.000	3200	  26.522	  31.563	   8.768	  15.021	  17.846	   4.957	68	0	   0.470	   0.579	   0.161	  55.000	  75.000	   0.000	 230.000	 280.000
17:44:37:393	8,11244E+13	    1.314	   13.000	3200	  26.156	  34.396	   9.555	  14.861	  19.455	   5.404	65	0	   0.480	   0.631	   0.175	  55.000	  75.000	   0.000	 230.000	 280.000
17:44:37:503	8,11247E+13	    1.424	   15.000	3200	  27.102	  37.395	  10.387	  15.636	  21.185	   5.885	67	0	   0.497	   0.686	   0.190	  55.000	  75.000	   0.000	 230.000	 280.000
17:44:37:614	8,1125E+13	    1.536	   12.000	3200	  26.233	  40.311	  11.198	  14.914	  22.843	   6.345	69	0	   0.458	   0.737	   0.205	  55.000	  75.000	   0.000	 230.000	 280.000
17:44:37:711	8,11253E+13	    1.632	   12.000	3200	  26.077	  42.821	  11.895	  14.791	  24.267	   6.741	61	0	   0.457	   0.781	   0.217	  55.000	  75.000	   0.000	 230.000	 280.000
