System Time	RDTSC	Elapsed Time (sec)	 CPU Utilization(%)	CPU Frequency_0(MHz)	Processor Power_0(Watt)	Cumulative Processor Energy_0(Joules)	Cumulative Processor Energy_0(mWh)	IA Power_0(Watt)	Cumulative IA Energy_0(Joules)	Cumulative IA Energy_0(mWh)	Package Temperature_0(C)	Package Hot_0	DRAM Power_0(Watt)	Cumulative DRAM Energy_0(Joules)	Cumulative DRAM Energy_0(mWh)	Package PL1_0(Watt)	Package PL2_0(Watt)	Package PL4_0(Watt)	Platform PsysPL1_0(Watt)	Platform PsysPL2_0(Watt)
17:45:11:692	8,12174E+13	    0.110	   14.000	3200	  26.386	   2.903	   0.806	  14.971	   1.647	   0.457	72	0	   0.519	   0.057	   0.016	  55.000	  75.000	   0.000	 230.000	 280.000
17:45:11:801	8,12177E+13	    0.219	   13.000	3200	  26.394	   5.782	   1.606	  15.041	   3.288	   0.913	73	0	   0.502	   0.112	   0.031	  55.000	  75.000	   0.000	 230.000	 280.000
17:45:11:897	8,1218E+13	    0.315	   12.000	3200	  26.005	   8.279	   2.300	  14.638	   4.693	   1.304	65	0	   0.479	   0.158	   0.044	  55.000	  75.000	   0.000	 230.000	 280.000
17:45:12:009	8,12183E+13	    0.426	   16.000	3200	  27.024	  11.284	   3.134	  15.669	   6.436	   1.788	64	0	   0.537	   0.218	   0.060	  55.000	  75.000	   0.000	 230.000	 280.000
17:45:12:121	8,12186E+13	    0.538	   12.000	3200	  25.722	  14.164	   3.934	  14.350	   8.042	   2.234	60	0	   0.470	   0.270	   0.075	  55.000	  75.000	   0.000	 230.000	 280.000
17:45:12:231	8,12189E+13	    0.648	   12.000	3200	  25.546	  16.976	   4.715	  14.198	   9.605	   2.668	67	0	   0.469	   0.322	   0.089	  55.000	  75.000	   0.000	 230.000	 280.000
17:45:12:343	8,12192E+13	    0.760	   12.000	3200	  26.112	  19.901	   5.528	  14.529	  11.233	   3.120	68	0	   0.461	   0.373	   0.104	  55.000	  75.000	   0.000	 230.000	 280.000
17:45:12:453	8,12195E+13	    0.870	   12.000	3200	  25.655	  22.722	   6.312	  14.286	  12.804	   3.557	62	0	   0.462	   0.424	   0.118	  55.000	  75.000	   0.000	 230.000	 280.000
17:45:12:564	8,12198E+13	    0.982	   15.000	3200	  26.539	  25.691	   7.137	  15.375	  14.524	   4.034	68	0	   0.489	   0.479	   0.133	  55.000	  75.000	   0.000	 230.000	 280.000
17:45:12:675	8,12201E+13	    1.092	   12.000	3300	  26.006	  28.557	   7.932	  14.437	  16.115	   4.476	68	0	   0.461	   0.530	   0.147	  55.000	  75.000	   0.000	 230.000	 280.000
