System Time	RDTSC	Elapsed Time (sec)	 CPU Utilization(%)	CPU Frequency_0(MHz)	Processor Power_0(Watt)	Cumulative Processor Energy_0(Joules)	Cumulative Processor Energy_0(mWh)	IA Power_0(Watt)	Cumulative IA Energy_0(Joules)	Cumulative IA Energy_0(mWh)	Package Temperature_0(C)	Package Hot_0	DRAM Power_0(Watt)	Cumulative DRAM Energy_0(Joules)	Cumulative DRAM Energy_0(mWh)	Package PL1_0(Watt)	Package PL2_0(Watt)	Package PL4_0(Watt)	Platform PsysPL1_0(Watt)	Platform PsysPL2_0(Watt)
17:46:03:443	8,13578E+13	    0.101	   14.000	3200	  25.714	   2.597	   0.721	  14.333	   1.448	   0.402	59	0	   0.525	   0.053	   0.015	  55.000	  75.000	   0.000	 230.000	 280.000
17:46:03:562	8,13581E+13	    0.220	   25.000	3600	  26.358	   5.724	   1.590	  14.859	   3.211	   0.892	62	0	   0.508	   0.113	   0.031	  55.000	  75.000	   0.000	 230.000	 280.000
17:46:03:665	8,13584E+13	    0.323	   12.000	3200	  25.698	   8.377	   2.327	  14.398	   4.697	   1.305	63	0	   0.487	   0.164	   0.045	  55.000	  75.000	   0.000	 230.000	 280.000
17:46:03:776	8,13587E+13	    0.434	   12.000	3200	  25.861	  11.245	   3.124	  14.466	   6.301	   1.750	68	0	   0.471	   0.216	   0.060	  55.000	  75.000	   0.000	 230.000	 280.000
17:46:03:884	8,1359E+13	    0.542	   13.000	3200	  26.220	  14.075	   3.910	  14.833	   7.902	   2.195	65	0	   0.488	   0.268	   0.075	  55.000	  75.000	   0.000	 230.000	 280.000
17:46:03:996	8,13593E+13	    0.653	   12.000	3200	  25.783	  16.955	   4.710	  14.591	   9.532	   2.648	71	0	   0.459	   0.320	   0.089	  55.000	  75.000	   0.000	 230.000	 280.000
17:46:04:108	8,13596E+13	    0.766	   12.000	3200	  25.908	  19.861	   5.517	  14.582	  11.167	   3.102	67	0	   0.457	   0.371	   0.103	  55.000	  75.000	   0.000	 230.000	 280.000
17:46:04:218	8,13599E+13	    0.876	   13.000	3200	  25.912	  22.717	   6.310	  14.363	  12.751	   3.542	74	0	   0.499	   0.426	   0.118	  55.000	  75.000	   0.000	 230.000	 280.000
17:46:04:329	8,13602E+13	    0.986	   12.000	3200	  26.118	  25.601	   7.111	  14.827	  14.388	   3.997	67	0	   0.500	   0.481	   0.134	  55.000	  75.000	   0.000	 230.000	 280.000
17:46:04:440	8,13605E+13	    1.098	   12.000	3200	  26.188	  28.522	   7.923	  14.724	  16.030	   4.453	75	0	   0.458	   0.532	   0.148	  55.000	  75.000	   0.000	 230.000	 280.000
17:46:04:571	8,13609E+13	    1.229	   25.000	3400	  26.537	  31.992	   8.887	  15.331	  18.035	   5.010	57	0	   0.476	   0.595	   0.165	  55.000	  75.000	   0.000	 230.000	 280.000
17:46:04:660	8,13611E+13	    1.318	   12.000	3300	  26.268	  34.341	   9.539	  14.711	  19.350	   5.375	75	0	   0.482	   0.638	   0.177	  55.000	  75.000	   0.000	 230.000	 280.000
17:46:04:770	8,13614E+13	    1.428	   12.000	3200	  26.161	  37.214	  10.337	  14.755	  20.971	   5.825	64	0	   0.461	   0.688	   0.191	  55.000	  75.000	   0.000	 230.000	 280.000
17:46:04:866	8,13617E+13	    1.524	   12.000	3200	  26.295	  39.736	  11.038	  14.909	  22.401	   6.222	67	0	   0.462	   0.733	   0.203	  55.000	  75.000	   0.000	 230.000	 280.000
17:46:04:976	8,1362E+13	    1.634	   12.000	3200	  25.996	  42.597	  11.833	  14.652	  24.013	   6.670	67	0	   0.459	   0.783	   0.218	  55.000	  75.000	   0.000	 230.000	 280.000
17:46:05:087	8,13623E+13	    1.745	   12.000	3200	  26.289	  45.521	  12.645	  14.969	  25.678	   7.133	69	0	   0.465	   0.835	   0.232	  55.000	  75.000	   0.000	 230.000	 280.000
17:46:05:198	8,13626E+13	    1.856	   12.000	3200	  26.309	  48.436	  13.454	  14.885	  27.327	   7.591	69	0	   0.479	   0.888	   0.247	  55.000	  75.000	   0.000	 230.000	 280.000
17:46:05:307	8,13629E+13	    1.965	   12.000	3200	  26.262	  51.298	  14.249	  14.909	  28.952	   8.042	69	0	   0.469	   0.939	   0.261	  55.000	  75.000	   0.000	 230.000	 280.000
17:46:05:418	8,13632E+13	    2.076	   12.000	3200	  26.363	  54.228	  15.063	  15.033	  30.623	   8.506	68	0	   0.456	   0.990	   0.275	  55.000	  75.000	   0.000	 230.000	 280.000
17:46:05:530	8,13635E+13	    2.187	   12.000	3200	  26.114	  57.141	  15.873	  14.891	  32.284	   8.968	68	0	   0.458	   1.041	   0.289	  55.000	  75.000	   0.000	 230.000	 280.000
17:46:05:642	8,13638E+13	    2.299	   15.000	3200	  26.942	  60.153	  16.709	  15.521	  34.019	   9.450	67	0	   0.491	   1.096	   0.304	  55.000	  75.000	   0.000	 230.000	 280.000
17:46:05:752	8,13641E+13	    2.410	   12.000	3200	  26.486	  63.082	  17.523	  15.028	  35.681	   9.911	69	0	   0.460	   1.147	   0.319	  55.000	  75.000	   0.000	 230.000	 280.000
17:46:05:862	8,13644E+13	    2.520	   13.000	3200	  26.638	  66.008	  18.336	  15.246	  37.356	  10.377	68	0	   0.471	   1.198	   0.333	  55.000	  75.000	   0.000	 230.000	 280.000
17:46:05:971	8,13647E+13	    2.629	   12.000	3200	  26.114	  68.860	  19.128	  14.808	  38.973	  10.826	67	0	   0.456	   1.248	   0.347	  55.000	  75.000	   0.000	 230.000	 280.000
17:46:06:081	8,1365E+13	    2.739	   12.000	3200	  25.972	  71.716	  19.921	  14.589	  40.577	  11.271	63	0	   0.463	   1.299	   0.361	  55.000	  75.000	   0.000	 230.000	 280.000
17:46:06:191	8,13653E+13	    2.849	   12.000	3200	  26.353	  74.617	  20.727	  15.017	  42.231	  11.731	70	0	   0.472	   1.351	   0.375	  55.000	  75.000	   0.000	 230.000	 280.000
17:46:06:300	8,13655E+13	    2.957	   12.000	3200	  26.098	  77.446	  21.513	  14.837	  43.839	  12.177	69	0	   0.476	   1.403	   0.390	  55.000	  75.000	   0.000	 230.000	 280.000
17:46:06:410	8,13658E+13	    3.068	   12.000	3200	  26.668	  80.400	  22.333	  15.254	  45.529	  12.647	66	0	   0.461	   1.454	   0.404	  55.000	  75.000	   0.000	 230.000	 280.000
17:46:06:505	8,13661E+13	    3.163	   12.000	3200	  26.405	  82.903	  23.029	  15.000	  46.950	  13.042	68	0	   0.457	   1.497	   0.416	  55.000	  75.000	   0.000	 230.000	 280.000
17:46:06:629	8,13664E+13	    3.287	   15.000	3200	  27.044	  86.256	  23.960	  15.664	  48.892	  13.581	66	0	   0.489	   1.558	   0.433	  55.000	  75.000	   0.000	 230.000	 280.000
17:46:06:724	8,13667E+13	    3.382	   12.000	3200	  26.336	  88.754	  24.654	  14.912	  50.307	  13.974	67	0	   0.470	   1.602	   0.445	  55.000	  75.000	   0.000	 230.000	 280.000
17:46:06:834	8,1367E+13	    3.492	   12.000	3200	  26.283	  91.644	  25.457	  14.923	  51.948	  14.430	69	0	   0.463	   1.653	   0.459	  55.000	  75.000	   0.000	 230.000	 280.000
17:46:06:944	8,13673E+13	    3.601	   12.000	3200	  26.256	  94.524	  26.257	  15.069	  53.601	  14.889	68	0	   0.457	   1.703	   0.473	  55.000	  75.000	   0.000	 230.000	 280.000
17:46:07:055	8,13676E+13	    3.713	   12.000	3200	  26.035	  97.419	  27.061	  14.717	  55.237	  15.344	66	0	   0.452	   1.754	   0.487	  55.000	  75.000	   0.000	 230.000	 280.000
17:46:07:165	8,13679E+13	    3.823	   12.000	3200	  25.600	 100.235	  27.843	  14.238	  56.803	  15.779	70	0	   0.472	   1.805	   0.502	  55.000	  75.000	   0.000	 230.000	 280.000
17:46:07:276	8,13682E+13	    3.933	   12.000	3200	  26.149	 103.132	  28.648	  14.733	  58.436	  16.232	63	0	   0.468	   1.857	   0.516	  55.000	  75.000	   0.000	 230.000	 280.000
17:46:07:384	8,13685E+13	    4.041	   12.000	3200	  25.688	 105.904	  29.418	  14.294	  59.978	  16.661	66	0	   0.459	   1.907	   0.530	  55.000	  75.000	   0.000	 230.000	 280.000
17:46:07:493	8,13688E+13	    4.150	   12.000	3200	  25.917	 108.729	  30.203	  14.562	  61.565	  17.102	61	0	   0.458	   1.957	   0.544	  55.000	  75.000	   0.000	 230.000	 280.000
17:46:07:602	8,13691E+13	    4.259	   17.000	3200	  26.793	 111.643	  31.012	  15.376	  63.237	  17.566	64	0	   0.482	   2.009	   0.558	  55.000	  75.000	   0.000	 230.000	 280.000
17:46:07:710	8,13694E+13	    4.368	   12.000	3200	  25.758	 114.444	  31.790	  14.332	  64.796	  17.999	64	0	   0.466	   2.060	   0.572	  55.000	  75.000	   0.000	 230.000	 280.000
17:46:07:819	8,13697E+13	    4.477	   12.000	3200	  26.330	 117.317	  32.588	  14.998	  66.433	  18.453	70	0	   0.461	   2.110	   0.586	  55.000	  75.000	   0.000	 230.000	 280.000
17:46:07:943	8,137E+13	    4.600	   12.000	3200	  26.134	 120.538	  33.483	  14.831	  68.261	  18.961	68	0	   0.461	   2.167	   0.602	  55.000	  75.000	   0.000	 230.000	 280.000
17:46:08:038	8,13703E+13	    4.695	   12.000	3200	  26.020	 123.011	  34.170	  14.672	  69.655	  19.349	65	0	   0.463	   2.211	   0.614	  55.000	  75.000	   0.000	 230.000	 280.000
17:46:08:161	8,13706E+13	    4.818	   12.000	3200	  25.939	 126.201	  35.056	  14.554	  71.445	  19.846	65	0	   0.475	   2.269	   0.630	  55.000	  75.000	   0.000	 230.000	 280.000
17:46:08:257	8,13709E+13	    4.914	   12.000	3200	  26.114	 128.702	  35.751	  14.699	  72.853	  20.237	72	0	   0.462	   2.314	   0.643	  55.000	  75.000	   0.000	 230.000	 280.000
17:46:08:366	8,13711E+13	    5.024	   12.000	3200	  26.195	 131.580	  36.550	  14.795	  74.478	  20.688	69	0	   0.468	   2.365	   0.657	  55.000	  75.000	   0.000	 230.000	 280.000
17:46:08:476	8,13714E+13	    5.134	   12.000	3200	  26.069	 134.453	  37.348	  14.768	  76.105	  21.140	73	0	   0.456	   2.415	   0.671	  55.000	  75.000	   0.000	 230.000	 280.000
17:46:08:587	8,13717E+13	    5.245	   20.000	3200	  26.989	 137.446	  38.180	  15.603	  77.836	  21.621	64	0	   0.474	   2.468	   0.686	  55.000	  75.000	   0.000	 230.000	 280.000
17:46:08:698	8,1372E+13	    5.355	   12.000	3200	  25.645	 140.273	  38.965	  14.343	  79.417	  22.060	68	0	   0.459	   2.519	   0.700	  55.000	  75.000	   0.000	 230.000	 280.000
17:46:08:808	8,13723E+13	    5.466	   12.000	3200	  26.111	 143.165	  39.768	  14.707	  81.046	  22.513	68	0	   0.457	   2.569	   0.714	  55.000	  75.000	   0.000	 230.000	 280.000
17:46:08:918	8,13726E+13	    5.576	   12.000	3200	  26.206	 146.048	  40.569	  14.835	  82.678	  22.966	68	0	   0.458	   2.620	   0.728	  55.000	  75.000	   0.000	 230.000	 280.000
17:46:09:030	8,13729E+13	    5.688	   12.000	3200	  26.039	 148.963	  41.378	  14.666	  84.320	  23.422	63	0	   0.454	   2.670	   0.742	  55.000	  75.000	   0.000	 230.000	 280.000
17:46:09:138	8,13732E+13	    5.796	   12.000	3200	  26.337	 151.809	  42.169	  15.000	  85.941	  23.872	66	0	   0.466	   2.721	   0.756	  55.000	  75.000	   0.000	 230.000	 280.000
17:46:09:250	8,13735E+13	    5.907	   12.000	3200	  26.327	 154.736	  42.982	  14.999	  87.608	  24.336	65	0	   0.473	   2.773	   0.770	  55.000	  75.000	   0.000	 230.000	 280.000
17:46:09:360	8,13738E+13	    6.018	   12.000	3200	  25.749	 157.592	  43.775	  14.370	  89.202	  24.778	66	0	   0.463	   2.825	   0.785	  55.000	  75.000	   0.000	 230.000	 280.000
17:46:09:472	8,13741E+13	    6.130	   12.000	3200	  26.331	 160.538	  44.594	  14.945	  90.874	  25.243	70	0	   0.455	   2.876	   0.799	  55.000	  75.000	   0.000	 230.000	 280.000
17:46:09:585	8,13745E+13	    6.243	   24.000	3300	  27.052	 163.599	  45.444	  15.749	  92.656	  25.738	59	0	   0.470	   2.929	   0.814	  55.000	  75.000	   0.000	 230.000	 280.000
17:46:09:678	8,13747E+13	    6.335	   12.000	3200	  26.266	 166.016	  46.116	  14.874	  94.025	  26.118	66	0	   0.477	   2.973	   0.826	  55.000	  75.000	   0.000	 230.000	 280.000
17:46:09:790	8,1375E+13	    6.447	   12.000	3200	  26.244	 168.956	  46.932	  14.892	  95.693	  26.582	63	0	   0.458	   3.024	   0.840	  55.000	  75.000	   0.000	 230.000	 280.000
17:46:09:900	8,13753E+13	    6.558	   12.000	3200	  26.379	 171.876	  47.743	  14.930	  97.346	  27.041	70	0	   0.458	   3.075	   0.854	  55.000	  75.000	   0.000	 230.000	 280.000
17:46:10:012	8,13756E+13	    6.669	   12.000	3200	  26.306	 174.813	  48.559	  15.088	  99.030	  27.508	70	0	   0.481	   3.128	   0.869	  55.000	  75.000	   0.000	 230.000	 280.000
17:46:10:123	8,13759E+13	    6.781	   12.000	3200	  26.435	 177.762	  49.378	  14.983	 100.702	  27.973	70	0	   0.457	   3.179	   0.883	  55.000	  75.000	   0.000	 230.000	 280.000
17:46:10:233	8,13762E+13	    6.890	   12.000	3200	  26.519	 180.659	  50.183	  15.204	 102.363	  28.434	63	0	   0.472	   3.231	   0.897	  55.000	  75.000	   0.000	 230.000	 280.000
17:46:10:343	8,13765E+13	    7.000	   12.000	3300	  26.296	 183.555	  50.987	  14.961	 104.010	  28.892	64	0	   0.464	   3.282	   0.912	  55.000	  75.000	   0.000	 230.000	 280.000
17:46:10:454	8,13768E+13	    7.111	   12.000	3200	  26.272	 186.463	  51.795	  14.835	 105.653	  29.348	69	0	   0.457	   3.332	   0.926	  55.000	  75.000	   0.000	 230.000	 280.000
