System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt)
17:44:36:187, 81121157108290,    0.108,   13.000, 3200,  26.045,   2.807,   0.780,  14.587,   1.572,   0.437, 66,  0,   0.509,   0.055,   0.015,  55.000,  75.000,   0.000, 230.000, 280.000
17:44:36:297, 81121455940178,    0.218,   14.000, 3200,  25.804,   5.650,   1.570,  14.460,   3.166,   0.879, 60,  0,   0.532,   0.113,   0.032,  55.000,  75.000,   0.000, 230.000, 280.000
17:44:36:407, 81121754029309,    0.328,   12.000, 3200,  25.759,   8.482,   2.356,  14.371,   4.745,   1.318, 61,  0,   0.479,   0.166,   0.046,  55.000,  75.000,   0.000, 230.000, 280.000
17:44:36:516, 81122049482256,    0.437,   17.000, 3200,  27.642,  11.493,   3.193,  16.227,   6.513,   1.809, 73,  0,   0.533,   0.224,   0.062,  55.000,  75.000,   0.000, 230.000, 280.000
17:44:36:624, 81122344527286,    0.546,   12.000, 3200,  26.062,  14.329,   3.980,  14.654,   8.107,   2.252, 68,  0,   0.461,   0.274,   0.076,  55.000,  75.000,   0.000, 230.000, 280.000
17:44:36:735, 81122643275330,    0.656,   12.000, 3200,  26.041,  17.197,   4.777,  14.729,   9.730,   2.703, 65,  0,   0.466,   0.326,   0.090,  55.000,  75.000,   0.000, 230.000, 280.000
17:44:36:845, 81122943822438,    0.767,   12.000, 3200,  26.303,  20.112,   5.587,  14.891,  11.380,   3.161, 68,  0,   0.458,   0.376,   0.105,  55.000,  75.000,   0.000, 230.000, 280.000
17:44:36:953, 81123234499585,    0.874,   12.000, 3200,  25.965,  22.895,   6.360,  14.658,  12.951,   3.598, 67,  0,   0.461,   0.426,   0.118,  55.000,  75.000,   0.000, 230.000, 280.000
17:44:37:064, 81123536332119,    0.985,   12.000, 3300,  25.873,  25.775,   7.160,  14.582,  14.574,   4.048, 61,  0,   0.459,   0.477,   0.132,  55.000,  75.000,   0.000, 230.000, 280.000
17:44:37:173, 81123832143951,    1.094,   12.000, 3200,  25.989,  28.609,   7.947,  14.658,  16.173,   4.492, 67,  0,   0.455,   0.526,   0.146,  55.000,  75.000,   0.000, 230.000, 280.000
17:44:37:284, 81124134197540,    1.206,   12.000, 3200,  26.522,  31.563,   8.768,  15.021,  17.846,   4.957, 68,  0,   0.470,   0.579,   0.161,  55.000,  75.000,   0.000, 230.000, 280.000
17:44:37:393, 81124427930342,    1.314,   13.000, 3200,  26.156,  34.396,   9.555,  14.861,  19.455,   5.404, 65,  0,   0.480,   0.631,   0.175,  55.000,  75.000,   0.000, 230.000, 280.000
17:44:37:503, 81124727966053,    1.424,   15.000, 3200,  27.102,  37.395,  10.387,  15.636,  21.185,   5.885, 67,  0,   0.497,   0.686,   0.190,  55.000,  75.000,   0.000, 230.000, 280.000
17:44:37:614, 81125029473305,    1.536,   12.000, 3200,  26.233,  40.311,  11.198,  14.914,  22.843,   6.345, 69,  0,   0.458,   0.737,   0.205,  55.000,  75.000,   0.000, 230.000, 280.000
17:44:37:711, 81125290484752,    1.632,   12.000, 3200,  26.077,  42.821,  11.895,  14.791,  24.267,   6.741, 61,  0,   0.457,   0.781,   0.217,  55.000,  75.000,   0.000, 230.000, 280.000
17:44:37:823, 81125594125315,    1.744,   12.000, 3200,  25.863,  45.717,  12.699,  14.508,  25.891,   7.192, 66,  0,   0.458,   0.832,   0.231,  55.000,  75.000,   0.000, 230.000, 280.000
17:44:37:933, 81125892841864,    1.854,   12.000, 3300,  25.891,  48.568,  13.491,  14.569,  27.496,   7.638, 65,  0,   0.460,   0.883,   0.245,  55.000,  75.000,   0.000, 230.000, 280.000
17:44:38:045, 81126195713394,    1.966,   12.000, 3200,  26.238,  51.499,  14.305,  14.800,  29.149,   8.097, 67,  0,   0.456,   0.933,   0.259,  55.000,  75.000,   0.000, 230.000, 280.000
17:44:38:152, 81126488300631,    2.074,   12.000, 3200,  26.429,  54.350,  15.097,  15.038,  30.771,   8.548, 68,  0,   0.462,   0.983,   0.273,  55.000,  75.000,   0.000, 230.000, 280.000
17:44:38:262, 81126784694255,    2.183,   12.000, 3200,  26.028,  57.195,  15.887,  14.725,  32.380,   8.995, 61,  0,   0.473,   1.035,   0.287,  55.000,  75.000,   0.000, 230.000, 280.000
17:44:38:371, 81127082599945,    2.293,   12.000, 3200,  26.014,  60.052,  16.681,  14.598,  33.984,   9.440, 68,  0,   0.468,   1.086,   0.302,  55.000,  75.000,   0.000, 230.000, 280.000
17:44:38:481, 81127380822721,    2.403,   16.000, 3200,  26.969,  63.018,  17.505,  15.587,  35.698,   9.916, 64,  0,   0.491,   1.140,   0.317,  55.000,  75.000,   0.000, 230.000, 280.000
17:44:38:594, 81127684726731,    2.515,   12.000, 3200,  26.159,  65.949,  18.319,  14.818,  37.358,  10.377, 64,  0,   0.462,   1.192,   0.331,  55.000,  75.000,   0.000, 230.000, 280.000
17:44:38:704, 81127985447871,    2.626,   12.000, 3200,  26.270,  68.862,  19.128,  14.884,  39.009,  10.836, 68,  0,   0.457,   1.243,   0.345,  55.000,  75.000,   0.000, 230.000, 280.000
17:44:38:816, 81128286785450,    2.737,   12.000, 3200,  26.012,  71.752,  19.931,  14.678,  40.640,  11.289, 69,  0,   0.454,   1.293,   0.359,  55.000,  75.000,   0.000, 230.000, 280.000
17:44:38:926, 81128587171834,    2.847,   12.000, 3200,  26.070,  74.640,  20.733,  14.658,  42.263,  11.740, 59,  0,   0.460,   1.344,   0.373,  55.000,  75.000,   0.000, 230.000, 280.000
17:44:39:035, 81128883014414,    2.957,   12.000, 3200,  25.966,  77.472,  21.520,  14.628,  43.859,  12.183, 65,  0,   0.470,   1.395,   0.388,  55.000,  75.000,   0.000, 230.000, 280.000
17:44:39:131, 81129142149835,    3.052,   13.000, 3200,  25.737,  79.932,  22.203,  14.505,  45.245,  12.568, 67,  0,   0.483,   1.442,   0.400,  55.000,  75.000,   0.000, 230.000, 280.000
17:44:39:241, 81129439456309,    3.162,   12.000, 3200,  26.452,  82.831,  23.009,  15.014,  46.891,  13.025, 66,  0,   0.462,   1.492,   0.414,  55.000,  75.000,   0.000, 230.000, 280.000
17:44:39:350, 81129737324340,    3.272,   12.000, 3200,  26.476,  85.739,  23.816,  15.060,  48.545,  13.485, 68,  0,   0.466,   1.543,   0.429,  55.000,  75.000,   0.000, 230.000, 280.000
17:44:39:459, 81130031244325,    3.380,   17.000, 3200,  27.323,  88.701,  24.639,  16.052,  50.285,  13.968, 68,  0,   0.481,   1.595,   0.443,  55.000,  75.000,   0.000, 230.000, 280.000
17:44:39:569, 81130331383966,    3.491,   12.000, 3200,  26.484,  91.632,  25.453,  15.039,  51.949,  14.430, 69,  0,   0.475,   1.648,   0.458,  55.000,  75.000,   0.000, 230.000, 280.000
17:44:39:681, 81130633969312,    3.602,   12.000, 3200,  26.215,  94.556,  26.266,  14.979,  53.620,  14.895, 67,  0,   0.463,   1.700,   0.472,  55.000,  75.000,   0.000, 230.000, 280.000
17:44:39:791, 81130931952364,    3.712,   12.000, 3200,  26.177,  97.433,  27.065,  14.777,  55.244,  15.346, 68,  0,   0.464,   1.751,   0.486,  55.000,  75.000,   0.000, 230.000, 280.000
17:44:39:902, 81131234572168,    3.824,   12.000, 3200,  26.422, 100.381,  27.884,  14.964,  56.914,  15.809, 68,  0,   0.465,   1.803,   0.501,  55.000,  75.000,   0.000, 230.000, 280.000
17:44:40:011, 81131530353763,    3.933,   12.000, 3200,  26.259, 103.245,  28.679,  14.897,  58.538,  16.261, 67,  0,   0.480,   1.855,   0.515,  55.000,  75.000,   0.000, 230.000, 280.000
17:44:40:120, 81131823692584,    4.041,   16.000, 3200,  27.069, 106.173,  29.492,  15.719,  60.239,  16.733, 66,  0,   0.523,   1.911,   0.531,  55.000,  75.000,   0.000, 230.000, 280.000
17:44:40:228, 81132116999177,    4.149,   12.000, 3200,  26.040, 108.989,  30.275,  14.702,  61.829,  17.175, 65,  0,   0.468,   1.962,   0.545,  55.000,  75.000,   0.000, 230.000, 280.000
17:44:40:339, 81132417401823,    4.260,   12.000, 3200,  26.402, 111.913,  31.087,  14.973,  63.487,  17.635, 66,  0,   0.483,   2.016,   0.560,  55.000,  75.000,   0.000, 230.000, 280.000
