System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt)
17:25:50:027, 78067012916210,    0.112,   22.000, 3300,  31.068,   3.495,   0.971,  19.345,   2.176,   0.604, 61,  0,   0.900,   0.101,   0.028,  55.000,  75.000,   0.000, 230.000, 280.000
17:25:50:133, 78067299243053,    0.218,   30.000, 1200,  24.237,   6.054,   1.682,  12.777,   3.525,   0.979, 48,  0,   0.876,   0.194,   0.054,  55.000,  75.000,   0.000, 230.000, 280.000
17:25:50:242, 78067592065729,    0.326,   46.000, 3200,  33.769,   9.700,   2.694,  22.239,   5.926,   1.646, 60,  0,   1.100,   0.312,   0.087,  55.000,  75.000,   0.000, 230.000, 280.000
17:25:50:349, 78067884143963,    0.434,   30.000, 3200,  32.142,  13.161,   3.656,  20.561,   8.141,   2.261, 64,  0,   0.857,   0.405,   0.112,  55.000,  75.000,   0.000, 230.000, 280.000
17:25:50:460, 78068183780024,    0.544,   47.000, 3200,  38.862,  17.455,   4.849,  27.508,  11.180,   3.106, 70,  0,   0.999,   0.515,   0.143,  55.000,  75.000,   0.000, 230.000, 280.000
17:25:50:570, 78068483461879,    0.655,   66.000, 3200,  42.234,  22.122,   6.145,  30.398,  14.539,   4.039, 70,  0,   1.184,   0.646,   0.179,  55.000,  75.000,   0.000, 230.000, 280.000
17:25:50:678, 78068777025873,    0.763,   79.000, 3200,  45.595,  27.057,   7.516,  33.910,  18.209,   5.058, 68,  0,   1.423,   0.800,   0.222,  55.000,  75.000,   0.000, 230.000, 280.000
17:25:50:800, 78069105257209,    0.884,   92.000, 3200,  47.341,  32.787,   9.108,  35.583,  22.516,   6.254, 73,  0,   1.460,   0.977,   0.271,  55.000,  75.000,   0.000, 230.000, 280.000
17:25:50:908, 78069399087618,    0.992,   93.000, 3200,  40.726,  37.200,  10.333,  34.709,  26.277,   7.299, 70,  0,   1.693,   1.160,   0.322,  55.000,  75.000,   0.000, 230.000, 280.000
17:25:51:014, 78069687643651,    1.099,   91.000, 3200,  38.308,  41.276,  11.465,  34.147,  29.910,   8.308, 76,  0,   1.542,   1.324,   0.368,  55.000,  75.000,   0.000, 230.000, 280.000
