System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt)
17:25:20:086, 77985811324036,    0.101,   38.000, 3200,  30.598,   3.103,   0.862,  19.185,   1.946,   0.541, 55,  0,   1.125,   0.114,   0.032,  55.000,  75.000,   0.000, 230.000, 280.000
17:25:20:202, 77986125566839,    0.217,   40.000, 3200,  35.762,   7.247,   2.013,  24.082,   4.736,   1.316, 62,  0,   1.047,   0.235,   0.065,  55.000,  75.000,   0.000, 230.000, 280.000
17:25:20:312, 77986423811749,    0.327,   26.000, 3200,  30.788,  10.633,   2.954,  19.292,   6.858,   1.905, 63,  0,   0.764,   0.319,   0.089,  55.000,  75.000,   0.000, 230.000, 280.000
17:25:20:412, 77986694635476,    0.427,   39.000, 3200,  37.036,  14.331,   3.981,  25.417,   9.396,   2.610, 64,  0,   1.109,   0.430,   0.119,  55.000,  75.000,   0.000, 230.000, 280.000
17:25:20:531, 77987018460798,    0.547,   45.000, 3200,  37.834,  18.849,   5.236,  26.348,  12.542,   3.484, 70,  0,   1.049,   0.555,   0.154,  55.000,  75.000,   0.000, 230.000, 280.000
17:25:20:639, 77987309286498,    0.654,   82.000, 3200,  45.876,  23.769,   6.602,  33.840,  16.171,   4.492, 71,  0,   1.339,   0.699,   0.194,  55.000,  75.000,   0.000, 230.000, 280.000
17:25:20:746, 77987602404631,    0.762,   83.000, 3200,  45.998,  28.740,   7.983,  34.311,  19.880,   5.522, 75,  0,   1.345,   0.844,   0.235,  55.000,  75.000,   0.000, 230.000, 280.000
17:25:20:855, 77987897136917,    0.871,   97.000, 3200,  47.431,  33.895,   9.415,  35.860,  23.777,   6.605, 72,  0,   1.599,   1.018,   0.283,  55.000,  75.000,   0.000, 230.000, 280.000
17:25:20:962, 77988184625113,    0.977,   75.000, 3200,  37.687,  37.890,  10.525,  32.902,  27.265,   7.573, 66,  0,   1.554,   1.183,   0.329,  55.000,  75.000,   0.000, 230.000, 280.000
17:25:21:068, 77988474068295,    1.083,   97.000, 3200,  39.928,  42.151,  11.709,  35.549,  31.059,   8.627, 72,  0,   1.729,   1.367,   0.380,  55.000,  75.000,   0.000, 230.000, 280.000
