System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt)
17:24:51:067, 77907110095299,    0.119,   51.000, 3200,  38.204,   4.555,   1.265,  26.656,   3.178,   0.883, 64,  0,   1.033,   0.123,   0.034,  55.000,  75.000,   0.000, 230.000, 280.000
17:24:51:163, 77907370735131,    0.215,   50.000, 3200,  38.025,   8.210,   2.281,  26.551,   5.730,   1.592, 66,  0,   1.061,   0.225,   0.063,  55.000,  75.000,   0.000, 230.000, 280.000
17:24:51:283, 77907695575401,    0.335,   84.000, 3200,  45.942,  13.713,   3.809,  34.171,   9.823,   2.729, 70,  0,   1.348,   0.387,   0.107,  55.000,  75.000,   0.000, 230.000, 280.000
17:24:51:390, 77907987189125,    0.443,   93.000, 3200,  47.887,  18.862,   5.239,  35.893,  13.683,   3.801, 73,  0,   1.479,   0.546,   0.152,  55.000,  75.000,   0.000, 230.000, 280.000
17:24:51:498, 77908281429349,    0.551,   96.000, 3200,  44.340,  23.673,   6.576,  35.429,  17.526,   4.868, 75,  0,   1.687,   0.729,   0.202,  55.000,  75.000,   0.000, 230.000, 280.000
17:24:51:605, 77908570838122,    0.658,   83.000, 3200,  37.300,  27.653,   7.681,  32.827,  21.030,   5.842, 72,  0,   1.656,   0.905,   0.251,  55.000,  75.000,   0.000, 230.000, 280.000
17:24:51:714, 77908866188247,    0.767,   84.000, 3200,  38.760,  31.874,   8.854,  34.438,  24.780,   6.883, 75,  0,   1.485,   1.067,   0.296,  55.000,  75.000,   0.000, 230.000, 280.000
17:24:51:855, 77909248518080,    0.908,   73.000, 3200,  37.413,  37.149,  10.319,  33.130,  29.451,   8.181, 70,  0,   1.485,   1.276,   0.355,  55.000,  75.000,   0.000, 230.000, 280.000
17:24:51:932, 77909456591166,    0.984,   60.000, 3200,  32.949,  39.677,  11.021,  28.602,  31.645,   8.790, 75,  0,   1.288,   1.375,   0.382,  55.000,  75.000,   0.000, 230.000, 280.000
17:24:52:043, 77909756414120,    1.095,   59.000, 3200,  33.137,  43.340,  12.039,  29.169,  34.870,   9.686, 68,  0,   1.250,   1.513,   0.420,  55.000,  75.000,   0.000, 230.000, 280.000
