System Time	RDTSC	Elapsed Time (sec)	 CPU Utilization(%)	CPU Frequency_0(MHz)	Processor Power_0(Watt)	Cumulative Processor Energy_0(Joules)	Cumulative Processor Energy_0(mWh)	IA Power_0(Watt)	Cumulative IA Energy_0(Joules)	Cumulative IA Energy_0(mWh)	Package Temperature_0(C)	Package Hot_0	DRAM Power_0(Watt)	Cumulative DRAM Energy_0(Joules)	Cumulative DRAM Energy_0(mWh)	Package PL1_0(Watt)	Package PL2_0(Watt)	Package PL4_0(Watt)	Platform PsysPL1_0(Watt)	Platform PsysPL2_0(Watt)
17:17:54:808	7,67782E+13	    0.113	   14.000	3200	  26.011	   2.930	   0.814	  14.500	   1.633	   0.454	66	0	   0.535	   0.060	   0.017	  55.000	  75.000	   0.000	 230.000	 280.000
17:17:54:919	7,67785E+13	    0.223	   12.000	3200	  26.079	   5.816	   1.616	  14.875	   3.280	   0.911	61	0	   0.482	   0.114	   0.032	  55.000	  75.000	   0.000	 230.000	 280.000
17:17:55:028	7,67788E+13	    0.332	   13.000	3200	  25.910	   8.634	   2.398	  14.479	   4.854	   1.348	63	0	   0.484	   0.166	   0.046	  55.000	  75.000	   0.000	 230.000	 280.000
17:17:55:137	7,67791E+13	    0.441	   14.000	3200	  25.313	  11.387	   3.163	  13.860	   6.362	   1.767	63	0	   0.544	   0.225	   0.063	  55.000	  75.000	   0.000	 230.000	 280.000
17:17:55:247	7,67794E+13	    0.551	   13.000	3200	  25.677	  14.212	   3.948	  14.284	   7.933	   2.204	58	0	   0.508	   0.281	   0.078	  55.000	  75.000	   0.000	 230.000	 280.000
17:17:55:355	7,67797E+13	    0.660	   15.000	3200	  27.147	  17.166	   4.768	  15.724	   9.644	   2.679	63	0	   0.518	   0.338	   0.094	  55.000	  75.000	   0.000	 230.000	 280.000
17:17:55:463	7,678E+13	    0.768	   12.000	3200	  26.063	  19.978	   5.549	  14.669	  11.227	   3.119	68	0	   0.471	   0.388	   0.108	  55.000	  75.000	   0.000	 230.000	 280.000
17:17:55:574	7,67803E+13	    0.878	   12.000	3200	  25.973	  22.850	   6.347	  14.742	  12.857	   3.571	68	0	   0.457	   0.439	   0.122	  55.000	  75.000	   0.000	 230.000	 280.000
17:17:55:682	7,67806E+13	    0.986	   12.000	3200	  26.346	  25.688	   7.136	  14.898	  14.462	   4.017	69	0	   0.469	   0.489	   0.136	  55.000	  75.000	   0.000	 230.000	 280.000
17:17:55:793	7,67809E+13	    1.097	   12.000	3200	  26.091	  28.592	   7.942	  14.799	  16.109	   4.475	67	0	   0.459	   0.541	   0.150	  55.000	  75.000	   0.000	 230.000	 280.000
17:17:55:901	7,67812E+13	    1.205	   12.000	3200	  25.414	  31.333	   8.703	  14.005	  17.619	   4.894	67	0	   0.459	   0.590	   0.164	  55.000	  75.000	   0.000	 230.000	 280.000
17:17:56:009	7,67815E+13	    1.314	   12.000	3200	  25.854	  34.146	   9.485	  14.487	  19.196	   5.332	65	0	   0.469	   0.641	   0.178	  55.000	  75.000	   0.000	 230.000	 280.000
17:17:56:120	7,67818E+13	    1.424	   12.000	3200	  26.090	  37.020	  10.283	  14.714	  20.817	   5.782	67	0	   0.468	   0.693	   0.192	  55.000	  75.000	   0.000	 230.000	 280.000
17:17:56:231	7,67821E+13	    1.535	   12.000	3200	  26.371	  39.944	  11.096	  14.982	  22.478	   6.244	69	0	   0.469	   0.745	   0.207	  55.000	  75.000	   0.000	 230.000	 280.000
17:17:56:340	7,67824E+13	    1.645	   17.000	3200	  28.078	  43.027	  11.952	  16.642	  24.305	   6.751	69	0	   0.519	   0.802	   0.223	  55.000	  75.000	   0.000	 230.000	 280.000
17:17:56:452	7,67827E+13	    1.756	   12.000	3200	  26.294	  45.951	  12.764	  14.970	  25.970	   7.214	67	0	   0.465	   0.853	   0.237	  55.000	  75.000	   0.000	 230.000	 280.000
17:17:56:563	7,6783E+13	    1.868	   12.000	3200	  26.478	  48.912	  13.587	  15.081	  27.656	   7.682	70	0	   0.457	   0.904	   0.251	  55.000	  75.000	   0.000	 230.000	 280.000
17:17:56:674	7,67833E+13	    1.978	   12.000	3200	  26.421	  51.822	  14.395	  15.073	  29.316	   8.143	71	0	   0.477	   0.957	   0.266	  55.000	  75.000	   0.000	 230.000	 280.000
17:17:56:782	7,67836E+13	    2.087	   12.000	3200	  26.233	  54.680	  15.189	  14.856	  30.935	   8.593	68	0	   0.461	   1.007	   0.280	  55.000	  75.000	   0.000	 230.000	 280.000
17:17:56:892	7,67839E+13	    2.196	   12.000	3200	  26.202	  57.541	  15.983	  14.885	  32.560	   9.044	68	0	   0.457	   1.057	   0.294	  55.000	  75.000	   0.000	 230.000	 280.000
17:17:57:002	7,67842E+13	    2.306	   12.000	3200	  26.265	  60.437	  16.788	  14.975	  34.211	   9.503	66	0	   0.465	   1.108	   0.308	  55.000	  75.000	   0.000	 230.000	 280.000
17:17:57:112	7,67845E+13	    2.416	   12.000	3200	  26.191	  63.318	  17.588	  14.806	  35.840	   9.956	68	0	   0.471	   1.160	   0.322	  55.000	  75.000	   0.000	 230.000	 280.000
17:17:57:223	7,67848E+13	    2.527	   12.000	3200	  26.353	  66.234	  18.398	  14.913	  37.490	  10.414	68	0	   0.470	   1.212	   0.337	  55.000	  75.000	   0.000	 230.000	 280.000
17:17:57:332	7,67851E+13	    2.637	   17.000	3300	  26.954	  69.195	  19.221	  15.545	  39.198	  10.888	72	0	   0.494	   1.266	   0.352	  55.000	  75.000	   0.000	 230.000	 280.000
17:17:57:428	7,67853E+13	    2.732	   12.000	3200	  26.114	  71.682	  19.912	  14.796	  40.607	  11.280	67	0	   0.463	   1.311	   0.364	  55.000	  75.000	   0.000	 230.000	 280.000
17:17:57:538	7,67856E+13	    2.842	   12.000	3200	  25.837	  74.526	  20.702	  14.491	  42.202	  11.723	70	0	   0.463	   1.362	   0.378	  55.000	  75.000	   0.000	 230.000	 280.000
17:17:57:649	7,67859E+13	    2.954	   14.000	3200	  27.238	  77.569	  21.547	  15.808	  43.968	  12.213	67	0	   0.472	   1.414	   0.393	  55.000	  75.000	   0.000	 230.000	 280.000
17:17:57:761	7,67862E+13	    3.065	   12.000	3200	  26.016	  80.471	  22.353	  14.786	  45.618	  12.672	69	0	   0.457	   1.465	   0.407	  55.000	  75.000	   0.000	 230.000	 280.000
17:17:57:873	7,67865E+13	    3.177	   12.000	3200	  26.252	  83.399	  23.166	  14.766	  47.264	  13.129	68	0	   0.456	   1.516	   0.421	  55.000	  75.000	   0.000	 230.000	 280.000
17:17:57:982	7,67868E+13	    3.287	   12.000	3200	  26.472	  86.303	  23.973	  15.038	  48.914	  13.587	69	0	   0.463	   1.567	   0.435	  55.000	  75.000	   0.000	 230.000	 280.000
17:17:58:095	7,67871E+13	    3.399	   12.000	3200	  26.146	  89.239	  24.789	  14.849	  50.581	  14.050	71	0	   0.460	   1.619	   0.450	  55.000	  75.000	   0.000	 230.000	 280.000
17:17:58:205	7,67874E+13	    3.509	   14.000	3200	  27.090	  92.219	  25.616	  15.710	  52.309	  14.530	69	0	   0.503	   1.674	   0.465	  55.000	  75.000	   0.000	 230.000	 280.000
17:17:58:315	7,67877E+13	    3.620	   19.000	3200	  27.766	  95.295	  26.471	  16.326	  54.118	  15.033	67	0	   0.515	   1.731	   0.481	  55.000	  75.000	   0.000	 230.000	 280.000
17:17:58:425	7,6788E+13	    3.729	   12.000	3200	  25.974	  98.140	  27.261	  14.737	  55.732	  15.481	66	0	   0.481	   1.784	   0.495	  55.000	  75.000	   0.000	 230.000	 280.000
17:17:58:537	7,67883E+13	    3.841	   13.000	3200	  26.668	 101.121	  28.089	  15.224	  57.434	  15.954	61	0	   0.489	   1.838	   0.511	  55.000	  75.000	   0.000	 230.000	 280.000
17:17:58:646	7,67886E+13	    3.950	   12.000	3200	  26.130	 103.977	  28.883	  14.848	  59.057	  16.405	65	0	   0.466	   1.889	   0.525	  55.000	  75.000	   0.000	 230.000	 280.000
17:17:58:757	7,67889E+13	    4.061	   12.000	3200	  26.510	 106.912	  29.698	  15.065	  60.725	  16.868	68	0	   0.470	   1.941	   0.539	  55.000	  75.000	   0.000	 230.000	 280.000
17:17:58:867	7,67892E+13	    4.172	   12.000	3200	  26.341	 109.830	  30.508	  14.932	  62.379	  17.328	69	0	   0.457	   1.992	   0.553	  55.000	  75.000	   0.000	 230.000	 280.000
17:17:58:977	7,67895E+13	    4.281	   12.000	3200	  26.181	 112.692	  31.303	  14.887	  64.007	  17.780	65	0	   0.454	   2.042	   0.567	  55.000	  75.000	   0.000	 230.000	 280.000
17:17:59:089	7,67898E+13	    4.393	   12.000	3200	  26.055	 115.604	  32.112	  14.629	  65.641	  18.234	68	0	   0.463	   2.093	   0.581	  55.000	  75.000	   0.000	 230.000	 280.000
17:17:59:197	7,67901E+13	    4.502	   12.000	3200	  26.182	 118.456	  32.904	  14.800	  67.253	  18.681	68	0	   0.471	   2.145	   0.596	  55.000	  75.000	   0.000	 230.000	 280.000
17:17:59:305	7,67904E+13	    4.609	   20.000	3200	  27.673	 121.428	  33.730	  16.392	  69.014	  19.171	64	0	   0.501	   2.198	   0.611	  55.000	  75.000	   0.000	 230.000	 280.000
17:17:59:415	7,67907E+13	    4.719	   12.000	3200	  25.810	 124.269	  34.519	  14.461	  70.606	  19.613	69	0	   0.461	   2.249	   0.625	  55.000	  75.000	   0.000	 230.000	 280.000
17:17:59:527	7,6791E+13	    4.831	   12.000	3200	  26.462	 127.222	  35.339	  15.010	  72.281	  20.078	68	0	   0.464	   2.301	   0.639	  55.000	  75.000	   0.000	 230.000	 280.000
17:17:59:636	7,67913E+13	    4.941	   12.000	3300	  26.448	 130.129	  36.147	  15.057	  73.936	  20.538	68	0	   0.468	   2.352	   0.653	  55.000	  75.000	   0.000	 230.000	 280.000
17:17:59:745	7,67916E+13	    5.049	   12.000	3200	  26.543	 133.017	  36.949	  15.127	  75.581	  20.995	70	0	   0.465	   2.403	   0.667	  55.000	  75.000	   0.000	 230.000	 280.000
17:17:59:854	7,67919E+13	    5.159	   12.000	3200	  25.586	 135.810	  37.725	  14.253	  77.138	  21.427	69	0	   0.461	   2.453	   0.681	  55.000	  75.000	   0.000	 230.000	 280.000
17:17:59:965	7,67922E+13	    5.269	   12.000	3200	  26.243	 138.715	  38.532	  15.051	  78.804	  21.890	69	0	   0.453	   2.503	   0.695	  55.000	  75.000	   0.000	 230.000	 280.000
17:18:00:074	7,67925E+13	    5.378	   16.000	3200	  27.775	 141.732	  39.370	  16.257	  80.569	  22.380	64	0	   0.633	   2.572	   0.714	  55.000	  75.000	   0.000	 230.000	 280.000
17:18:00:182	7,67928E+13	    5.486	   12.000	3200	  26.027	 144.551	  40.153	  14.720	  82.164	  22.823	68	0	   0.460	   2.622	   0.728	  55.000	  75.000	   0.000	 230.000	 280.000
17:18:00:295	7,67931E+13	    5.600	   24.000	3400	  27.744	 147.715	  41.032	  16.407	  84.035	  23.343	59	0	   0.512	   2.680	   0.745	  55.000	  75.000	   0.000	 230.000	 280.000
17:18:00:404	7,67934E+13	    5.708	   12.000	3200	  26.396	 150.551	  41.820	  14.858	  85.631	  23.787	70	0	   0.484	   2.732	   0.759	  55.000	  75.000	   0.000	 230.000	 280.000
17:18:00:515	7,67937E+13	    5.819	   12.000	3200	  26.473	 153.492	  42.637	  15.118	  87.311	  24.253	70	0	   0.465	   2.784	   0.773	  55.000	  75.000	   0.000	 230.000	 280.000
