System Time	RDTSC	Elapsed Time (sec)	 CPU Utilization(%)	CPU Frequency_0(MHz)	Processor Power_0(Watt)	Cumulative Processor Energy_0(Joules)	Cumulative Processor Energy_0(mWh)	IA Power_0(Watt)	Cumulative IA Energy_0(Joules)	Cumulative IA Energy_0(mWh)	Package Temperature_0(C)	Package Hot_0	DRAM Power_0(Watt)	Cumulative DRAM Energy_0(Joules)	Cumulative DRAM Energy_0(mWh)	Package PL1_0(Watt)	Package PL2_0(Watt)	Package PL4_0(Watt)	Platform PsysPL1_0(Watt)	Platform PsysPL2_0(Watt)
17:19:39:582	7,70624E+13	    0.118	   13.000	3200	  26.058	   3.084	   0.857	  14.729	   1.743	   0.484	61	0	   0.505	   0.060	   0.017	  55.000	  75.000	   0.000	 230.000	 280.000
17:19:39:693	7,70627E+13	    0.229	   13.000	3200	  26.077	   5.967	   1.658	  14.628	   3.361	   0.933	66	0	   0.502	   0.115	   0.032	  55.000	  75.000	   0.000	 230.000	 280.000
17:19:39:788	7,70629E+13	    0.325	   12.000	3200	  26.014	   8.458	   2.349	  14.558	   4.754	   1.321	63	0	   0.488	   0.162	   0.045	  55.000	  75.000	   0.000	 230.000	 280.000
17:19:39:898	7,70632E+13	    0.435	   12.000	3200	  25.918	  11.307	   3.141	  14.523	   6.351	   1.764	67	0	   0.483	   0.215	   0.060	  55.000	  75.000	   0.000	 230.000	 280.000
17:19:40:010	7,70635E+13	    0.546	   13.000	3200	  25.495	  14.156	   3.932	  14.265	   7.945	   2.207	63	0	   0.506	   0.272	   0.075	  55.000	  75.000	   0.000	 230.000	 280.000
17:19:40:121	7,70638E+13	    0.658	   15.000	3200	  26.481	  17.105	   4.751	  14.974	   9.613	   2.670	68	0	   0.514	   0.329	   0.091	  55.000	  75.000	   0.000	 230.000	 280.000
17:19:40:229	7,70641E+13	    0.765	   13.000	3200	  25.789	  19.881	   5.522	  14.553	  11.179	   3.105	61	0	   0.497	   0.382	   0.106	  55.000	  75.000	   0.000	 230.000	 280.000
17:19:40:341	7,70644E+13	    0.877	   13.000	3200	  25.338	  22.714	   6.309	  13.907	  12.734	   3.537	60	0	   0.483	   0.436	   0.121	  55.000	  75.000	   0.000	 230.000	 280.000
17:19:40:452	7,70647E+13	    0.988	   20.000	3200	  26.711	  25.674	   7.132	  15.301	  14.429	   4.008	63	0	   0.495	   0.491	   0.136	  55.000	  75.000	   0.000	 230.000	 280.000
17:19:40:561	7,7065E+13	    1.097	   12.000	3300	  25.639	  28.481	   7.911	  14.146	  15.978	   4.438	69	0	   0.478	   0.544	   0.151	  55.000	  75.000	   0.000	 230.000	 280.000
17:19:40:671	7,70653E+13	    1.208	   12.000	3200	  25.408	  31.277	   8.688	  14.064	  17.526	   4.868	67	0	   0.464	   0.595	   0.165	  55.000	  75.000	   0.000	 230.000	 280.000
17:19:40:783	7,70656E+13	    1.319	   12.000	3200	  25.703	  34.156	   9.488	  14.323	  19.130	   5.314	67	0	   0.458	   0.646	   0.179	  55.000	  75.000	   0.000	 230.000	 280.000
17:19:40:893	7,70659E+13	    1.429	   12.000	3200	  25.763	  36.973	  10.270	  14.486	  20.714	   5.754	67	0	   0.467	   0.697	   0.194	  55.000	  75.000	   0.000	 230.000	 280.000
17:19:41:001	7,70662E+13	    1.538	   14.000	3200	  26.302	  39.832	  11.064	  14.849	  22.328	   6.202	70	0	   0.519	   0.753	   0.209	  55.000	  75.000	   0.000	 230.000	 280.000
17:19:41:113	7,70665E+13	    1.649	   12.000	3200	  25.968	  42.737	  11.871	  14.555	  23.957	   6.655	63	0	   0.486	   0.808	   0.224	  55.000	  75.000	   0.000	 230.000	 280.000
17:19:41:209	7,70668E+13	    1.745	   13.000	3200	  25.512	  45.172	  12.548	  14.258	  25.318	   7.033	67	0	   0.482	   0.854	   0.237	  55.000	  75.000	   0.000	 230.000	 280.000
17:19:41:319	7,70671E+13	    1.855	   12.000	3200	  26.250	  48.074	  13.354	  14.774	  26.951	   7.486	68	0	   0.463	   0.905	   0.251	  55.000	  75.000	   0.000	 230.000	 280.000
17:19:41:434	7,70674E+13	    1.971	   24.000	3400	  26.894	  51.173	  14.215	  15.565	  28.744	   7.984	62	0	   0.498	   0.963	   0.267	  55.000	  75.000	   0.000	 230.000	 280.000
17:19:41:541	7,70677E+13	    2.077	   12.000	3200	  25.416	  53.887	  14.969	  14.215	  30.262	   8.406	68	0	   0.482	   1.014	   0.282	  55.000	  75.000	   0.000	 230.000	 280.000
17:19:41:648	7,7068E+13	    2.185	   12.000	3200	  26.107	  56.684	  15.745	  14.529	  31.818	   8.838	68	0	   0.471	   1.064	   0.296	  55.000	  75.000	   0.000	 230.000	 280.000
